timestamp,latitude,longitude,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1650794895,45.068024,7.709744,10.000000,29.000000,23.844383,13.048340
1650794949,45.067337,7.706100,9.000000,29.000000,14.048340,1.000000
1650794983,45.067532,7.703146,9.000000,29.000000,14.048340,1.000000
1650794983,45.067532,7.703146,7.000000,28.000000,2.000000,21.065237
1650795005,45.066013,7.702602,7.000000,28.000000,2.000000,21.065237
1650795044,45.065479,7.698377,7.000000,28.000000,2.000000,21.065237
1650795044,45.065479,7.698377,6.000000,29.000000,48.942554,7.691023
1650795047,45.065025,7.699793,6.000000,29.000000,48.942554,7.691023
1650795076,45.064793,7.700523,6.000000,29.000000,48.942554,7.691023
1650795076,45.064793,7.700523,9.000000,32.000000,43.992348,16.165894
1650795081,45.063824,7.699645,9.000000,32.000000,43.992348,16.165894
1650795127,45.062912,7.698555,9.000000,32.000000,43.992348,16.165894
1650795168,45.064365,7.698806,9.000000,32.000000,43.992348,16.165894
1650795168,45.064365,7.698806,12.000000,31.000000,35.856255,13.441651
1650795172,45.062038,7.697342,12.000000,31.000000,35.856255,13.441651
1650795223,45.059711,7.695142,12.000000,31.000000,35.856255,13.441651
1650795223,45.059711,7.695142,13.000000,30.000000,33.991547,11.280006
1650795262,45.058243,7.693972,13.000000,30.000000,33.991547,11.280006
1650795262,45.058243,7.693972,14.000000,30.000000,15.418767,11.288177
1650795294,45.057236,7.693138,14.000000,30.000000,15.418767,11.288177
1650795325,45.057053,7.694342,14.000000,30.000000,15.418767,11.288177
1650795325,45.057053,7.694342,15.000000,31.000000,12.288177,23.074890
1650795357,45.056038,7.696033,15.000000,31.000000,12.288177,23.074890
1650795388,45.055420,7.696001,15.000000,31.000000,12.288177,23.074890
1650795388,45.055420,7.696001,18.000000,32.000000,40.205982,7.810822
1650795413,45.054962,7.695709,18.000000,32.000000,40.205982,7.810822
1650795448,45.055183,7.696668,18.000000,32.000000,40.205982,7.810822
1650795448,45.055183,7.696668,18.000000,34.000000,32.126179,7.657371
1650795482,45.054317,7.698541,18.000000,34.000000,32.126179,7.657371
1650795513,45.053444,7.698988,18.000000,34.000000,32.126179,7.657371
1650795513,45.053444,7.698988,17.000000,33.000000,13.641263,9.285989
1650795543,45.053684,7.701445,17.000000,33.000000,13.641263,9.285989
1650795577,45.054028,7.703029,17.000000,33.000000,13.641263,9.285989
1650795577,45.054028,7.703029,14.000000,30.000000,32.830101,6.868175
1650795608,45.053398,7.704599,14.000000,30.000000,32.830101,6.868175
1650795618,45.053417,7.705113,14.000000,30.000000,32.830101,6.868175
1650795618,45.053417,7.705113,14.000000,35.000000,32.085896,8.371690
1650795639,45.053116,7.705871,14.000000,35.000000,32.085896,8.371690
1650795670,45.053017,7.706295,14.000000,35.000000,32.085896,8.371690
1650795704,45.052162,7.707188,14.000000,35.000000,32.085896,8.371690
1650795704,45.052162,7.707188,14.000000,38.000000,9.471821,12.669868
1650795735,45.050934,7.706363,14.000000,38.000000,9.471821,12.669868
1650795766,45.050182,7.706491,16.000000,41.000000,27.525917,9.138739
1650795799,45.049320,7.706938,16.000000,41.000000,27.525917,9.138739
1650795799,45.049320,7.706938,16.000000,45.000000,27.112514,7.785039
1650795830,45.048611,7.707337,16.000000,45.000000,27.112514,7.785039
1650795853,45.048046,7.707692,16.000000,45.000000,27.112514,7.785039
1650795893,45.047535,7.708340,16.000000,45.000000,27.112514,7.785039
1650795893,45.047535,7.708340,14.000000,43.000000,8.785040,1.000000
1650795908,45.047588,7.708892,14.000000,43.000000,8.785040,1.000000
1650795954,45.048038,7.709865,14.000000,43.000000,8.785040,1.000000
1650795954,45.048038,7.709865,17.000000,54.000000,13.129046,8.764742
1650795986,45.047832,7.710218,17.000000,54.000000,13.129046,8.764742
1650795986,45.047832,7.710218,15.000000,54.000000,43.860954,8.490932
1650796028,45.047325,7.710613,15.000000,54.000000,43.860954,8.490932
1650796047,45.047215,7.711262,15.000000,54.000000,43.860954,8.490932
