timestamp,latitudine,longitudine,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1647411496,45.106617,7.770714,7.000000,222.000000,11.892720,3.124834
1647411496,45.106617,7.770714,14.000000,221.000000,13.612735,3.938487
1647411508,45.105705,7.769483,14.000000,221.000000,13.612735,3.938487
1647411523,45.105415,7.768225,14.000000,221.000000,13.612735,3.938487
1647411531,45.105152,7.767686,14.000000,221.000000,13.612735,3.938487
1647411534,45.105160,7.767528,14.000000,221.000000,13.612735,3.938487
1647411536,45.105099,7.767379,14.000000,221.000000,13.612735,3.938487
1647411537,45.104988,7.767353,14.000000,221.000000,13.612735,3.938487
1647411541,45.105034,7.767279,14.000000,221.000000,13.612735,3.938487
1647411544,45.104965,7.767195,14.000000,221.000000,13.612735,3.938487
1647411547,45.104893,7.767120,14.000000,221.000000,13.612735,3.938487
1647411550,45.104782,7.767004,14.000000,221.000000,13.612735,3.938487
1647411552,45.104721,7.766833,14.000000,221.000000,13.612735,3.938487
1647411647,45.102962,7.753483,15.000000,210.000000,23.653479,6.082941
1647411648,45.102962,7.753483,15.000000,210.000000,23.653479,6.082941
1647411649,45.102985,7.753798,15.000000,210.000000,23.653479,6.082941
1647411656,45.103004,7.753671,15.000000,210.000000,23.653479,6.082941
1647411684,45.102982,7.753474,15.000000,210.000000,23.653479,6.082941
1647411684,45.102982,7.753474,15.000000,215.000000,23.116302,5.383160
1647411686,45.102966,7.753317,15.000000,215.000000,23.116302,5.383160
1647411688,45.102940,7.753083,15.000000,215.000000,23.116302,5.383160
1647411690,45.102909,7.752824,15.000000,215.000000,23.116302,5.383160
1647411691,45.102894,7.752677,15.000000,215.000000,23.116302,5.383160
1647411692,45.102879,7.752525,15.000000,215.000000,23.116302,5.383160
1647411693,45.102856,7.752366,15.000000,215.000000,23.116302,5.383160
1647411694,45.102837,7.752197,15.000000,215.000000,23.116302,5.383160
1647411695,45.102818,7.752023,15.000000,215.000000,23.116302,5.383160
1647411696,45.102798,7.751844,15.000000,215.000000,23.116302,5.383160
1647411697,45.102776,7.751662,15.000000,215.000000,23.116302,5.383160
1647411698,45.102753,7.751480,15.000000,215.000000,23.116302,5.383160
1647411699,45.102734,7.751300,15.000000,215.000000,23.116302,5.383160
1647411700,45.102711,7.751135,15.000000,215.000000,23.116302,5.383160
1647411701,45.102699,7.750961,15.000000,215.000000,23.116302,5.383160
1647411702,45.102676,7.750807,15.000000,215.000000,23.116302,5.383160
1647411703,45.102665,7.750667,15.000000,215.000000,23.116302,5.383160
1647411705,45.102634,7.750439,15.000000,215.000000,23.116302,5.383160
1647411707,45.102612,7.750256,15.000000,215.000000,23.116302,5.383160
1647411709,45.102589,7.750073,15.000000,215.000000,23.116302,5.383160
1647411711,45.102566,7.749860,15.000000,215.000000,23.116302,5.383160
1647411713,45.102535,7.749611,15.000000,215.000000,23.116302,5.383160
1647411714,45.102520,7.749474,15.000000,215.000000,23.116302,5.383160
1647411715,45.102501,7.749321,15.000000,215.000000,23.116302,5.383160
1647411716,45.102478,7.749168,15.000000,215.000000,23.116302,5.383160
1647411717,45.102459,7.748999,15.000000,215.000000,23.116302,5.383160
1647411718,45.102440,7.748828,15.000000,215.000000,23.116302,5.383160
1647411719,45.102413,7.748668,15.000000,215.000000,23.116302,5.383160
1647411720,45.102394,7.748484,15.000000,215.000000,23.116302,5.383160
1647411722,45.102371,7.748310,15.000000,215.000000,23.116302,5.383160
1647411723,45.102352,7.748127,15.000000,215.000000,23.116302,5.383160
1647411724,45.102333,7.747947,15.000000,215.000000,23.116302,5.383160
1647411725,45.102314,7.747770,15.000000,215.000000,23.116302,5.383160
1647411726,45.102295,7.747592,15.000000,215.000000,23.116302,5.383160
1647411727,45.102276,7.747420,15.000000,215.000000,23.116302,5.383160
1647411728,45.102257,7.747241,15.000000,215.000000,23.116302,5.383160
1647411729,45.102238,7.747077,15.000000,215.000000,23.116302,5.383160
1647411730,45.102215,7.746916,15.000000,215.000000,23.116302,5.383160
1647411731,45.102196,7.746758,15.000000,215.000000,23.116302,5.383160
1647411732,45.102177,7.746599,15.000000,215.000000,23.116302,5.383160
1647411733,45.102161,7.746431,15.000000,215.000000,23.116302,5.383160
1647411734,45.102146,7.746259,15.000000,220.000000,22.983770,4.777529
1647411735,45.102127,7.746092,15.000000,220.000000,22.983770,4.777529
1647411736,45.102112,7.745922,15.000000,220.000000,22.983770,4.777529
1647411737,45.102093,7.745754,15.000000,220.000000,22.983770,4.777529
1647411738,45.102074,7.745590,15.000000,220.000000,22.983770,4.777529
1647411739,45.102055,7.745435,15.000000,220.000000,22.983770,4.777529
1647411740,45.102039,7.745287,15.000000,220.000000,22.983770,4.777529
1647411741,45.102024,7.745143,15.000000,220.000000,22.983770,4.777529
1647411742,45.102013,7.745015,15.000000,220.000000,22.983770,4.777529
1647411744,45.101990,7.744794,15.000000,220.000000,22.983770,4.777529
1647411746,45.101971,7.744613,15.000000,220.000000,22.983770,4.777529
1647411748,45.101955,7.744447,15.000000,220.000000,22.983770,4.777529
1647411750,45.101940,7.744301,15.000000,220.000000,22.983770,4.777529
1647411752,45.101929,7.744173,15.000000,220.000000,22.983770,4.777529
1647411755,45.101913,7.744040,15.000000,220.000000,22.983770,4.777529
1647411758,45.101902,7.743908,15.000000,220.000000,22.983770,4.777529
1647411760,45.101891,7.743759,15.000000,220.000000,22.983770,4.777529
1647411762,45.101856,7.743582,15.000000,220.000000,22.983770,4.777529
1647411764,45.101837,7.743354,15.000000,220.000000,22.983770,4.777529
1647411766,45.101807,7.743120,15.000000,220.000000,22.983770,4.777529
1647411767,45.101799,7.742992,15.000000,220.000000,22.983770,4.777529
1647411769,45.101768,7.742745,15.000000,220.000000,22.983770,4.777529
1647411771,45.101734,7.742489,15.000000,220.000000,22.983770,4.777529
1647411772,45.101719,7.742357,15.000000,220.000000,22.983770,4.777529
1647411773,45.101707,7.742217,15.000000,220.000000,22.983770,4.777529
1647411774,45.101688,7.742079,15.000000,220.000000,22.983770,4.777529
1647411775,45.101669,7.741942,15.000000,220.000000,22.983770,4.777529
1647411776,45.101658,7.741804,15.000000,220.000000,22.983770,4.777529
1647411777,45.101639,7.741665,15.000000,220.000000,22.983770,4.777529
1647411778,45.101624,7.741531,15.000000,220.000000,22.983770,4.777529
1647411779,45.101608,7.741398,15.000000,220.000000,22.983770,4.777529
1647411780,45.101589,7.741263,15.000000,220.000000,22.983770,4.777529
1647411781,45.101559,7.740976,15.000000,220.000000,22.983770,4.777529
1647411782,45.101540,7.740812,15.000000,220.000000,22.983770,4.777529
1647411783,45.101521,7.740637,15.000000,220.000000,22.983770,4.777529
1647411784,45.101498,7.740462,15.000000,220.000000,22.983770,4.777529
1647411785,45.101479,7.740280,15.000000,220.000000,22.983770,4.777529
1647411786,45.101460,7.740102,15.000000,220.000000,22.983770,4.777529
1647411787,45.101440,7.739916,15.000000,220.000000,22.983770,4.777529
1647411788,45.101418,7.739738,15.000000,220.000000,22.983770,4.777529
1647411789,45.101398,7.739566,15.000000,220.000000,22.983770,4.777529
1647411790,45.101376,7.739393,15.000000,220.000000,22.983770,4.777529
1647411791,45.101357,7.739225,15.000000,220.000000,22.983770,4.777529
1647411792,45.101341,7.739062,15.000000,220.000000,22.983770,4.777529
1647411793,45.101318,7.738897,15.000000,220.000000,22.983770,4.777529
1647411795,45.101295,7.738740,13.000000,227.000000,44.311886,7.377199
1647411796,45.101284,7.738583,13.000000,227.000000,44.311886,7.377199
1647411797,45.101265,7.738434,13.000000,227.000000,44.311886,7.377199
1647411798,45.101254,7.738297,13.000000,227.000000,44.311886,7.377199
1647411800,45.101223,7.738067,13.000000,227.000000,44.311886,7.377199
1647411804,45.101208,7.737941,13.000000,227.000000,44.311886,7.377199
1647411807,45.101189,7.737786,13.000000,227.000000,44.311886,7.377199
1647411811,45.101170,7.737639,13.000000,227.000000,44.311886,7.377199
1647411815,45.101147,7.737484,13.000000,227.000000,44.311886,7.377199
1647411818,45.101063,7.737374,13.000000,227.000000,44.311886,7.377199
1647411820,45.100975,7.737276,13.000000,227.000000,44.311886,7.377199
1647411822,45.100838,7.737136,13.000000,227.000000,44.311886,7.377199
1647411823,45.100754,7.737066,13.000000,227.000000,44.311886,7.377199
1647411824,45.100670,7.737010,13.000000,227.000000,44.311886,7.377199
1647411826,45.100513,7.736913,13.000000,227.000000,44.311886,7.377199
1647411828,45.100368,7.736829,13.000000,227.000000,44.311886,7.377199
1647411830,45.100266,7.736765,13.000000,227.000000,44.311886,7.377199
1647411832,45.100174,7.736709,13.000000,227.000000,44.311886,7.377199
1647411834,45.100079,7.736642,13.000000,227.000000,44.311886,7.377199
1647411836,45.099957,7.736559,13.000000,227.000000,44.311886,7.377199
1647411837,45.099873,7.736507,13.000000,227.000000,44.311886,7.377199
1647411839,45.099716,7.736402,13.000000,227.000000,44.311886,7.377199
