timestamp,latitudine,longitudine,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1647249833,1222.28.00,11552.35.00,22.00,43.00.00,11023.27.00,4730.24.00
1647249833,1222.28.00,11552.35.00,21.00,44.00.00,13956.13.00,13003.22.00
1647250113,1221.04.00,11551.45.00,24.00.00,45.00.00,10554.53.00,11453.11.00
1647250113,1221.04.00,11551.45.00,24.00.00,45.00.00,987.04.00,12248.43.00
1647250412,1221.00.00,11552.03.00,24.00.00,45.00.00,13141.06.00,11066.59.00
1647250412,1221.00.00,11552.03.00,24.00.00,46.00.00,16553.33.00,2697.05.00
1647250707,1221.08.00,11552.04.00,24.00.00,47.00.00,6970.56.00,10874.39.00
1647250707,1221.08.00,11552.04.00,24.00.00,48.00.00,219.46.00,1693.54.00
1647250978,1221.08.00,11552.03.00,21.00,50.00.00,10794.17.00,13989.14.00
1647250978,1221.08.00,11552.03.00,21.00,49.00.00,12380.28.00,9448.46.00
1647251260,1221.08.00,11552.02.00,21.00,50.00.00,9354.17.00,7959.46.00
1647251260,1221.08.00,11552.02.00,20.00,50.00.00,8090.50.00,10844.47.00
1647251537,1222.24.00,11552.56.00,20.00,47.00.00,16665.13.00,8987.07.00
1647251537,1222.24.00,11552.56.00,21.00,0.00,16665.13.00,8987.07.00
1647251817,1222.05.00,11553.22.00,0.00,48.00.00,9796.23.00,3911.32.00
1647251817,1222.05.00,11553.22.00,0.00,50.00.00,6654.03.00,8164.40.00
1647252180,1222.17.00,11552.56.00,0.00,50.00.00,14351.41.00,10592.37.00
1647252180,1222.17.00,11552.56.00,0.00,50.00.00,15014.07.00,14090.58.00
1647254772,1222.17.00,11552.37.00,9.00,59.00.00,1036.45.00,13894.24.00
1647254772,1222.17.00,11552.37.00,9.00,56.00.00,8289.55.00,13353.34.00
1647255045,1221.00.00,11552.10.00,11.00,52.00.00,13849.14.00,12093.54.00
1647255045,1221.00.00,11552.10.00,11.00,52.00.00,1076.29.00,5370.02.00
1647255315,1221.12.00,11552.12.00,11.00,48.00.00,12888.14.00,4730.42.00
1647255315,1221.12.00,11552.12.00,11.00,47.00.00,2410.09.00,6913.33.00
1647255585,1221.20.00,11552.22.00,12.00,49.00.00,5263.11.00,3291.02.00
1647255585,1221.20.00,11552.22.00,12.00,51.00.00,11594.58.00,15561.06.00
1647255858,1222.01.00,11552.27.00,11.00,52.00.00,6659.08.00,9881.56.00
1647255858,1222.01.00,11552.27.00,11.00,52.00.00,3131.16.00,10984.22.00
1647256129,1220.57.00,11552.21.00,11.00,52.00.00,11173.49.00,13977.18.00
1647256129,1220.57.00,11552.21.00,11.00,52.00.00,11965.11.00,1962.19.00
1647256409,1221.58.00,11553.26.00,11.00,49.00.00,11860.19.00,3039.08.00
1647256409,1221.58.00,11553.26.00,11.00,48.00.00,16439.10.00,2776.33.00
1647256695,1221.27.00,11552.03.00,13.00,43.00.00,5034.52.00,10822.35.00
1647256695,1221.27.00,11552.03.00,13.00,42.00.00,3336.59.00,8331.36.00
1647256967,1221.35.00,11552.02.00,14.00,43.00.00,13676.23.00,5202.24.00
1647256967,1221.35.00,11552.02.00,14.00,42.00.00,16646.36.00,11033.21.00
1647257259,1222.05.00,11553.13.00,13.00,44.00.00,6915.29.00,2558.02.00
1647257534,1221.58.00,11553.06.00,12.00,45.00.00,16242.35.00,635.30.00
1647257534,1221.58.00,11553.06.00,13.00,46.00.00,401.26.00,7449.54.00
1647257809,1221.35.00,11551.56.00,12.00,45.00.00,10391.34.00,421.32.00
1647257809,1221.35.00,11551.56.00,12.00,43.00.00,7250.43.00,13650.28.00
1647259930,980.56.00,11343.29.00,18.00,16.00,11247.16.00,13588.42.00
1647259960,983.52.00,11336.09.00,18.00,16.00,11247.16.00,13588.42.00
1647259960,983.52.00,11336.09.00,18.00,14.00,13589.42.00,13588.42.00
1647259986,983.52.00,11329.39.00,18.00,14.00,13589.42.00,13588.42.00
1647260019,988.42.00,11320.52.00,18.00,14.00,13589.42.00,13588.42.00
1647260044,989.54.00,11311.26.00,10.00,13.00,7095.57.00,135.14.00
1647260107,981.23.00,11311.01.00,10.00,13.00,7095.57.00,135.14.00
1647260107,981.23.00,11311.01.00,2.00,12.00,13323.55.00,4889.59.00
1647260138,981.04.00,11301.13.00,2.00,12.00,13323.55.00,4889.59.00
1647260167,984.45.00,11292.02.00,2.00,12.00,13323.55.00,4889.59.00
1647260167,984.45.00,11292.02.00,12.00,19.00,14244.12.00,9454.51.00
1647260197,982.35.00,11284.11.00,12.00,19.00,14244.12.00,9454.51.00
1647260227,979.13.00,11277.23.00,12.00,19.00,14244.12.00,9454.51.00
1647260227,979.13.00,11277.23.00,5.00,53.00.00,16365.59.00,16350.04.00
1647260265,977.00.00,11283.26.00,5.00,53.00.00,16365.59.00,16350.04.00
1647260265,977.00.00,11283.26.00,12.00,72.00.00,2478.18.00,6076.30.00
1647345257,1222.17.00,11552.25.00,6.00,175.00.00,9991.45.00,1116.51.00
1647345257,1222.17.00,11552.25.00,6.00,183.00.00,1195.04.00,6071.24.00
1647345562,1226.55.00,11554.23.00,6.00,152.00.00,12291.16.00,13871.40.00
1647345562,1226.55.00,11554.23.00,7.00,115.00.00,1871.02.00,2673.59.00
1647345577,1231.22.00,11553.12.00,7.00,115.00.00,1871.02.00,2673.59.00
1647345577,1231.22.00,11553.12.00,9.00,101.00.00,8347.55.00,14298.59.00
1647345600,1235.15.00,11549.38.00,9.00,101.00.00,8347.55.00,14298.59.00
1647345633,1232.00.00,11545.03.00,9.00,101.00.00,8347.55.00,14298.59.00
1647345633,1232.00.00,11545.03.00,9.00,112.00.00,14299.59.00,12135.06.00
1647345654,1227.52.00,11542.19.00,9.00,112.00.00,14299.59.00,12135.06.00
1647345817,1223.10.00,11540.10.00,12.00,113.00.00,4896.34.00,14225.26.00
1647345817,1223.10.00,11540.10.00,12.00,123.00.00,2457.44.00,9530.20.00
1647345822,1218.43.00,11536.17.00,12.00,123.00.00,2457.44.00,9530.20.00
1647345826,1214.01.00,11532.29.00,12.00,123.00.00,2457.44.00,9530.20.00
1647345851,1200.02.00,11522.07.00,12.00,123.00.00,2457.44.00,9530.20.00
1647345889,1195.35.00,11519.15.00,12.00,123.00.00,2457.44.00,9530.20.00
1647345889,1195.35.00,11519.15.00,12.00,128.00.00,4749.02.00,7024.11.00
1647345908,1183.11.00,11509.58.00,12.00,128.00.00,4749.02.00,7024.11.00
1647345924,1168.33.00,11502.14.00,12.00,128.00.00,4749.02.00,7024.11.00
1647345938,1160.02.00,11487.38.00,12.00,128.00.00,4749.02.00,7024.11.00
1647345938,1160.02.00,11487.38.00,10.00,135.00.00,5570.11.00,4720.00.00
1647345948,1149.56.00,11480.14.00,10.00,135.00.00,5570.11.00,4720.00.00
1647353273,977.00.00,11282.40.00,4.00,210.00.00,3780.16.00,5401.56.00
1647353543,977.00.00,11282.45.00,4.00,218.00.00,16521.20.00,16380.21.00
1647353543,977.00.00,11282.45.00,4.00,220.00.00,16381.21.00,14590.35.00
1647353820,976.56.00,11282.55.00,3.00,231.00.00,13575.37.00,11402.49.00
1647353820,976.56.00,11282.55.00,3.00,250.00.00,15185.40.00,14176.30.00
1647354099,977.00.00,11282.52.00,4.00,244.00.00,4021.28.00,7532.38.00
1647354099,977.00.00,11282.52.00,4.00,242.00.00,13305.04.00,12837.31.00
1647354381,977.03.00,11282.49.00,4.00,244.00.00,6026.13.00,7728.59.00
1647354381,977.03.00,11282.49.00,4.00,243.00.00,2802.44.00,14662.57.00
1647354651,977.03.00,11282.44.00,4.00,250.00.00,13816.42.00,11823.57.00
1647354651,977.03.00,11282.44.00,4.00,250.00.00,1215.49.00,8241.49.00
1647354925,977.03.00,11282.44.00,4.00,264.00.00,6627.41.00,4077.45.00
1647354925,977.03.00,11282.44.00,4.00,259.00.00,15599.28.00,5233.29.00
1647355199,977.07.00,11282.57.00,4.00,257.00.00,6060.49.00,1451.45.00
1647355199,977.07.00,11282.57.00,4.00,224.00.00,11197.21.00,32.07.00
1647355470,977.00.00,11282.39.00,4.00,218.00.00,8706.20.00,5331.34.00
1647355470,977.00.00,11282.39.00,4.00,223.00.00,5229.07.00,375.28.00
1647355762,977.03.00,11282.49.00,4.00,229.00.00,523.09.00,13921.12.00
1647355762,977.03.00,11282.49.00,4.00,222.00.00,7584.58.00,1534.06.00
1647356033,977.07.00,11282.41.00,4.00,229.00.00,8381.50.00,14420.20.00
1647356033,977.07.00,11282.41.00,4.00,222.00.00,9156.49.00,1714.16.00
1647356310,977.03.00,11282.44.00,4.00,209.00.00,11484.09.00,16585.31.00
1647411850,978.43.00,11295.27.00,1.00,76.00.00,14341.35.00,7782.44.00
1647411879,981.00.00,11301.45.00,1.00,76.00.00,14341.35.00,7782.44.00
1647411879,981.00.00,11301.45.00,4.00,57.00.00,7661.57.00,7817.46.00
1647411900,976.56.00,11306.21.00,4.00,57.00.00,7661.57.00,7817.46.00
1647411932,976.02.00,11318.15.00,4.00,57.00.00,7661.57.00,7817.46.00
1647411932,976.02.00,11318.15.00,5.00,42.00.00,10596.01.00,14841.38.00
1647411960,973.11.00,11327.24.00,5.00,42.00.00,10596.01.00,14841.38.00
1647411990,971.16.00,11341.31.00,5.00,42.00.00,10596.01.00,14841.38.00
1647411990,971.16.00,11341.31.00,7.00,36.00.00,13996.44.00,9495.02.00
1647412029,967.08.00,11346.30.00,7.00,36.00.00,13996.44.00,9495.02.00
1647412044,966.07.00,11353.31.00,7.00,36.00.00,13996.44.00,9495.02.00
1647412044,966.07.00,11353.31.00,3.00,31.00.00,15051.14.00,474.54.00
1647412075,963.35.00,11360.51.00,3.00,31.00.00,15051.14.00,474.54.00
1647412106,971.54.00,11357.01.00,3.00,31.00.00,15051.14.00,474.54.00
1647412106,971.54.00,11357.01.00,0.00,28.00.00,11826.25.00,11112.16.00
1647412118,970.19.00,11366.54.00,0.00,28.00.00,11826.25.00,11112.16.00
1647412144,975.05.00,11367.19.00,0.00,28.00.00,11826.25.00,11112.16.00
1647412175,982.39.00,11372.22.00,0.00,28.00.00,11826.25.00,11112.16.00
1647412175,982.39.00,11372.22.00,0.00,26.00.00,606.52.00,2619.09.00
1647412209,988.38.00,11376.29.00,0.00,26.00.00,606.52.00,2619.09.00
1647412239,993.31.00,11380.27.00,0.00,26.00.00,606.52.00,2619.09.00
1647412239,993.31.00,11380.27.00,0.00,25.00.00,13678.26.00,13638.15.00
1647412249,998.25.00,11383.05.00,0.00,25.00.00,13678.26.00,13638.15.00
1647412280,1004.58.00,11386.25.00,0.00,25.00.00,13678.26.00,13638.15.00
1647412280,1004.58.00,11386.25.00,0.00,23.00,13639.15.00,2253.48.00
1647412311,1010.19.00,11391.34.00,0.00,23.00,13639.15.00,2253.48.00
1647412342,1016.51.00,11396.19.00,0.00,23.00,13639.15.00,2253.48.00
1647412342,1016.51.00,11396.19.00,0.00,21.00,2254.48.00,1880.10.00
1647412373,1022.20.00,11399.27.00,0.00,21.00,2254.48.00,1880.10.00
1647412400,1026.58.00,11406.35.00,0.00,21.00,2254.48.00,1880.10.00
1647412400,1026.58.00,11406.35.00,0.00,20.00,1799.55.00,16184.47.00
1647412435,1033.50.00,11408.33.00,0.00,20.00,1799.55.00,16184.47.00
1647412466,1039.03.00,11411.27.00,0.00,20.00,1799.55.00,16184.47.00
1647412466,1039.03.00,11411.27.00,0.00,18.00,4488.22.00,193.37.00
1647412497,1047.30.00,11418.28.00,0.00,18.00,4488.22.00,193.37.00
1647412528,1052.43.00,11426.27.00,0.00,18.00,4488.22.00,193.37.00
1647412528,1052.43.00,11426.27.00,0.00,20.00,194.37.00,5673.30.00
1647412559,1058.26.00,11426.03.00,0.00,20.00,194.37.00,5673.30.00
1647412590,1065.14.00,11429.32.00,0.00,20.00,194.37.00,5673.30.00
1647412590,1065.14.00,11429.32.00,0.00,18.00,5490.49.00,11467.30.00
1647412621,1071.55.00,11434.05.00,0.00,18.00,5490.49.00,11467.30.00
