timestamp,latitudine,longitudine,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1646697756,45.057537,7.680765,1.000000,139.000000,36.383404,16.889591
1646697756,45.057537,7.680765,0.000000,136.000000,32.137062,16.224606
1646697775,45.057781,7.681011,0.000000,136.000000,32.137062,16.224606
1646697814,45.057495,7.680823,0.000000,136.000000,32.137062,16.224606
1646697814,45.057495,7.680823,1.000000,140.000000,30.542961,4.190884
1646697838,45.057781,7.681008,1.000000,140.000000,30.542961,4.190884
1646698059,45.057465,7.680927,0.000000,138.000000,23.072243,6.743777
1646698059,45.057465,7.680927,1.000000,136.000000,15.501923,5.602578
1646698079,45.057785,7.681001,1.000000,136.000000,15.501923,5.602578
1646698181,45.057392,7.680878,1.000000,135.000000,25.156097,18.410187
1646698181,45.057392,7.680878,1.000000,136.000000,47.943878,17.345371
1646698201,45.057781,7.681012,1.000000,136.000000,47.943878,17.345371
1646698426,45.057518,7.680920,1.000000,136.000000,31.694113,5.347230
1646698426,45.057518,7.680920,1.000000,136.000000,27.155899,17.665112
1646698475,45.057785,7.681009,1.000000,136.000000,27.155899,17.665112
1646698475,45.057785,7.681009,0.000000,136.000000,31.628124,5.162927
1646698667,45.057461,7.680647,0.000000,139.000000,23.409927,17.011375
1646698667,45.057461,7.680647,1.000000,135.000000,27.779312,3.246419
1646698686,45.057781,7.681000,1.000000,135.000000,27.779312,3.246419
1646699402,45.057697,7.680634,1.000000,135.000000,32.684315,8.311599
1646699402,45.057697,7.680634,0.000000,138.000000,35.490292,7.201633
1646699446,45.057785,7.681008,0.000000,138.000000,35.490292,7.201633
1646699446,45.057785,7.681008,1.000000,138.000000,24.711994,4.135596
1646700452,45.057343,7.678659,0.000000,136.000000,23.886271,3.173162
1646700452,45.057343,7.678659,1.000000,134.000000,26.456259,7.172970
1646700486,45.057781,7.681011,1.000000,134.000000,26.456259,7.172970
1646700671,45.058365,7.681351,1.000000,135.000000,24.206947,3.983892
1646700671,45.058365,7.681351,0.000000,135.000000,14.708547,3.802347
1646700697,45.057777,7.681013,0.000000,135.000000,14.708547,3.802347
1646700697,45.057777,7.681013,0.000000,135.000000,17.567158,3.325681
1646701323,45.058052,7.681096,0.000000,135.000000,33.387817,4.892322
1646701323,45.058052,7.681096,1.000000,134.000000,48.589138,12.981590
1646701335,45.057781,7.680995,1.000000,134.000000,48.589138,12.981590
1646701940,45.054863,7.679304,0.000000,133.000000,14.817812,3.599988
1646701940,45.054863,7.679304,0.000000,134.000000,16.653715,14.158895
1646701974,45.057781,7.681004,0.000000,134.000000,16.653715,14.158895
1646701974,45.057781,7.681004,1.000000,133.000000,41.915001,11.307615
1646702402,45.057827,7.680614,1.000000,133.000000,29.038303,15.530421
1646702402,45.057827,7.680614,1.000000,134.000000,39.321823,14.155921
1646702427,45.057781,7.680996,1.000000,134.000000,39.321823,14.155921
1646702504,45.057793,7.680564,0.000000,132.000000,31.452618,5.344121
1646702504,45.057793,7.680564,1.000000,132.000000,26.058971,9.631310
1646702519,45.057781,7.681005,1.000000,132.000000,26.058971,9.631310
1646702628,45.057442,7.680992,1.000000,136.000000,51.932121,13.174559
1646702628,45.057442,7.680992,1.000000,132.000000,36.733452,10.508946
1646702641,45.057777,7.680996,1.000000,132.000000,36.733452,10.508946
1646702948,45.057831,7.680614,0.000000,135.000000,23.775824,6.113770
1646702948,45.057831,7.680614,1.000000,133.000000,43.784004,9.469729
1646702971,45.057781,7.681011,1.000000,133.000000,43.784004,9.469729
1646702971,45.057781,7.681011,1.000000,131.000000,38.281921,14.522939
1646703265,45.057476,7.681408,1.000000,132.000000,14.286411,7.798550
1646703265,45.057476,7.681408,1.000000,132.000000,36.255478,6.632660
1646703303,45.057777,7.681004,1.000000,132.000000,36.255478,6.632660
1646703303,45.057777,7.681004,1.000000,132.000000,37.079346,7.770292
1646703411,45.057564,7.680657,1.000000,131.000000,21.508858,3.700831
1646703411,45.057564,7.680657,1.000000,133.000000,9.922983,2.477253
1646703423,45.057774,7.680992,1.000000,133.000000,9.922983,2.477253
1646703652,45.057766,7.680561,1.000000,130.000000,14.133251,3.701220
1646703652,45.057766,7.680561,1.000000,132.000000,19.436565,4.363128
1646703666,45.057781,7.680997,1.000000,132.000000,19.436565,4.363128
1646704237,45.058273,7.680673,1.000000,132.000000,13.369831,15.088115
1646704237,45.058273,7.680673,0.000000,132.000000,27.822788,14.540072
1646704258,45.057781,7.681010,0.000000,132.000000,27.822788,14.540072
1646704555,45.057293,7.681036,1.000000,131.000000,18.395355,14.356529
1646704555,45.057293,7.681036,1.000000,131.000000,29.261574,14.143826
1646704591,45.057781,7.681005,1.000000,131.000000,29.261574,14.143826
1646704591,45.057781,7.681005,1.000000,132.000000,27.225731,14.143826
1646704607,45.057354,7.680980,1.000000,132.000000,27.225731,14.143826
1646704621,45.057774,7.681017,1.000000,132.000000,27.225731,14.143826
1646704675,45.057545,7.680808,1.000000,132.000000,27.225731,14.143826
1646704675,45.057545,7.680808,1.000000,130.000000,15.251966,1.221242
1646704711,45.057781,7.681007,1.000000,130.000000,15.251966,1.221242
1646704711,45.057781,7.681007,1.000000,132.000000,37.248058,11.400665
1646704811,45.058960,7.682327,1.000000,132.000000,37.248058,11.400665
1646704811,45.058960,7.682327,1.000000,131.000000,20.859682,2.257334
1646704892,45.057781,7.681009,1.000000,130.000000,23.148373,8.728285
1646704892,45.057781,7.681009,1.000000,131.000000,19.635899,2.860120
1646705177,45.057503,7.681305,1.000000,129.000000,44.384556,6.409872
1646705177,45.057503,7.681305,1.000000,130.000000,24.412691,4.193210
1646705215,45.057781,7.681017,1.000000,130.000000,24.412691,4.193210
1646705215,45.057781,7.681017,0.000000,130.000000,34.566193,8.704979
1646705305,45.058563,7.680467,0.000000,130.000000,34.566193,8.704979
1646705305,45.058563,7.680467,0.000000,135.000000,29.985004,5.774415
1646705337,45.057777,7.681003,0.000000,135.000000,29.985004,5.774415
