timestamp,latitude,longitude,NO2 (ppb),superato limite,percentuale sup
1645599177,45.071335,7.692380,0.000000,NO, 90
1645599177,45.071335,7.692380,0.000000,NO, 90
1645599211,45.070625,7.691939,0.000000,NO, 90
1645599243,45.071239,7.692713,0.000000,NO, 90
1645599243,45.071239,7.692713,0.000000,NO, 90
1645599275,45.071400,7.693103,0.000000,NO, 90
1645599277,45.071091,7.692333,0.000000,NO, 90
1645599307,45.071239,7.692930,0.000000,NO, 90
1645599307,45.071239,7.692930,0.000000,NO, 90
1645599337,45.071560,7.693149,0.000000,NO, 90
1645599369,45.071331,7.692647,0.000000,NO, 90
1645599369,45.071331,7.692647,0.000000,NO, 90
1645599432,45.071373,7.693195,0.000000,NO, 90
1645599432,45.071373,7.693195,0.000000,NO, 90
1645599454,45.071167,7.692674,0.000000,NO, 90
1645599524,45.071453,7.693069,0.000000,NO, 90
1645599524,45.071453,7.693069,0.000000,NO, 90
1645599587,45.071255,7.693397,0.000000,NO, 90
1645599587,45.071255,7.693397,0.000000,NO, 90
1645599619,45.071175,7.692706,0.000000,NO, 90
1645599619,45.071175,7.692706,0.000000,NO, 90
1645599714,45.070698,7.692418,0.000000,NO, 90
1645599714,45.070698,7.692418,0.000000,NO, 90
1645599763,45.070969,7.692883,0.000000,NO, 90
1645599763,45.070969,7.692883,0.000000,NO, 90
1645599776,45.070614,7.692773,0.000000,NO, 90
1645599776,45.070614,7.692773,0.000000,NO, 90
1645599824,45.070454,7.693094,0.000000,NO, 90
1645599837,45.070629,7.692736,0.000000,NO, 90
1645599837,45.070629,7.692736,0.000000,NO, 90
1645599947,45.070568,7.693184,0.000000,NO, 90
1645599947,45.070568,7.693184,0.000000,NO, 90
1645599993,45.070652,7.692683,0.000000,NO, 90
1645599993,45.070652,7.692683,0.000000,NO, 90
1645600174,45.070980,7.692649,0.000000,NO, 90
1645600174,45.070980,7.692649,9.000000,NO, 90
1645600211,45.070591,7.692674,9.000000,NO, 90
1645600211,45.070591,7.692674,9.000000,NO, 90
1645600276,45.070984,7.692254,9.000000,NO, 90
1645600276,45.070984,7.692254,13.000000,SI, 30
1645600307,45.070621,7.692732,13.000000,SI, 30
1645601547,45.070698,7.692270,3.000000,NO, 30
1645601547,45.070698,7.692270,3.000000,NO, 30
1645601574,45.070652,7.692721,3.000000,NO, 30
1645601933,45.070690,7.692338,3.000000,NO, 30
1645601933,45.070690,7.692338,4.000000,NO, 30
1645601974,45.070648,7.692731,4.000000,NO, 30
1645601974,45.070648,7.692731,4.000000,NO, 30
1645603218,45.070850,7.692416,16.000000,SI, 60
1645603218,45.070850,7.692416,16.000000,SI, 60
1645603293,45.070545,7.692450,16.000000,SI, 60
1645603293,45.070545,7.692450,16.000000,SI, 60
1645603354,45.070293,7.692201,16.000000,SI, 60
1645603354,45.070293,7.692201,15.000000,SI, 50
1645603480,45.070583,7.692244,16.000000,SI, 60
1645603480,45.070583,7.692244,14.000000,SI, 40
1645603543,45.070274,7.692073,14.000000,SI, 40
1645603543,45.070274,7.692073,0.000000,NO, 40
1645603728,45.070538,7.692400,0.000000,NO, 40
1645603728,45.070538,7.692400,0.000000,NO, 40
1645603790,45.070827,7.692594,0.000000,NO, 40
1645603790,45.070827,7.692594,0.000000,NO, 40
1645603801,45.070454,7.691542,0.000000,NO, 40
1645603801,45.070454,7.691542,0.000000,NO, 40
1645603821,45.071026,7.692829,0.000000,NO, 40
1645603870,45.070721,7.691567,0.000000,NO, 40
1645603870,45.070721,7.691567,0.000000,NO, 40
1645603886,45.071049,7.692812,0.000000,NO, 40
1645603948,45.070770,7.692500,0.000000,NO, 40
1645603948,45.070770,7.692500,13.000000,SI, 30
1645603979,45.070469,7.692224,13.000000,SI, 30
1645603979,45.070469,7.692224,12.000000,SI, 20
1645604041,45.070717,7.692471,12.000000,SI, 20
1645604041,45.070717,7.692471,12.000000,SI, 20
1645604089,45.070858,7.692056,12.000000,SI, 20
1645604103,45.071018,7.692818,12.000000,SI, 20
1645604103,45.071018,7.692818,12.000000,SI, 20
1645604137,45.070751,7.692377,12.000000,SI, 20
1645604198,45.070618,7.692724,12.000000,SI, 20
1645604198,45.070618,7.692724,12.000000,SI, 20
1645604384,45.069672,7.693113,12.000000,SI, 20
1645604384,45.069672,7.693113,11.000000,SI, 10
1645604415,45.070660,7.692680,11.000000,SI, 10
1645604415,45.070660,7.692680,11.000000,SI, 10
1645604507,45.070724,7.692194,11.000000,SI, 10
1645604507,45.070724,7.692194,12.000000,SI, 20
1645604541,45.070648,7.692630,12.000000,SI, 20
1645604541,45.070648,7.692630,0.000000,NO, 20
1645604620,45.070473,7.692166,0.000000,NO, 20
1645604620,45.070473,7.692166,0.000000,NO, 20
1645604634,45.070667,7.692644,0.000000,NO, 20
1645604703,45.070301,7.691986,0.000000,NO, 20
1645604703,45.070301,7.691986,0.000000,NO, 20
1645604727,45.070667,7.692691,0.000000,NO, 20
1645604748,45.070526,7.691937,0.000000,NO, 20
1645604790,45.070641,7.692686,0.000000,NO, 20
1645604790,45.070641,7.692686,0.000000,NO, 20
1645604900,45.070824,7.692158,0.000000,NO, 20
1645604900,45.070824,7.692158,0.000000,NO, 20
1645604914,45.070637,7.692681,0.000000,NO, 20
1645604959,45.070702,7.692292,0.000000,NO, 20
1645604959,45.070702,7.692292,0.000000,NO, 20
1645604962,45.070927,7.691966,0.000000,NO, 20
1645604976,45.071095,7.691630,0.000000,NO, 20
1645605007,45.070641,7.692736,0.000000,NO, 20
1645605007,45.070641,7.692736,0.000000,NO, 20
1645605016,45.070831,7.692135,0.000000,NO, 20
1645605038,45.070629,7.692681,0.000000,NO, 20
1645605301,45.070732,7.692245,9.000000,NO, 20
1645605301,45.070732,7.692245,10.000000,NO, 20
1645605319,45.070656,7.692660,10.000000,NO, 20
1645605726,45.070347,7.693221,11.000000,SI, 10
1645605726,45.070347,7.693221,10.000000,NO, 10
1645605753,45.070648,7.692708,10.000000,NO, 10
1645605771,45.070389,7.692970,10.000000,NO, 10
1645605783,45.070625,7.692691,10.000000,NO, 10
1645605783,45.070625,7.692691,10.000000,NO, 10
1645605864,45.070988,7.692571,10.000000,NO, 10
1645605864,45.070988,7.692571,10.000000,NO, 10
1645605874,45.070690,7.692638,10.000000,NO, 10
1645606176,45.070419,7.692305,0.000000,NO, 10
1645606176,45.070419,7.692305,0.000000,NO, 10
1645606209,45.070023,7.692110,0.000000,NO, 10
1645606209,45.070023,7.692110,0.000000,NO, 10
1645606251,45.070450,7.692594,0.000000,NO, 10
1645606320,45.070099,7.692231,0.000000,NO, 10
1645606320,45.070099,7.692231,0.000000,NO, 10
1645606362,45.070126,7.691080,0.000000,NO, 10
1645606369,45.070339,7.691736,0.000000,NO, 10
1645606400,45.070515,7.692300,0.000000,NO, 10
1645606400,45.070515,7.692300,0.000000,NO, 10
1645606462,45.070492,7.692707,0.000000,NO, 10
1645606462,45.070492,7.692707,0.000000,NO, 10
1645606490,45.070816,7.692641,0.000000,NO, 10
1645606523,45.070469,7.692298,0.000000,NO, 10
1645606523,45.070469,7.692298,0.000000,NO, 10
1645606584,45.070244,7.691982,0.000000,NO, 10
1645606584,45.070244,7.691982,0.000000,NO, 10
1645607483,45.069958,7.691984,2.000000,NO, 10
1645607483,45.069958,7.691984,2.000000,NO, 10
1645607856,45.070400,7.691937,1.000000,NO, 10
1645607856,45.070400,7.691937,0.000000,NO, 10
1645607887,45.070087,7.691961,0.000000,NO, 10
1645607887,45.070087,7.691961,0.000000,NO, 10
1645607915,45.070641,7.693208,0.000000,NO, 10
1645608011,45.070316,7.692021,0.000000,NO, 10
1645608011,45.070316,7.692021,0.000000,NO, 10
1645608097,45.068542,7.691385,0.000000,NO, 10
1645608097,45.068542,7.691385,0.000000,NO, 10
1645608104,45.069637,7.691708,0.000000,NO, 10
1645608135,45.068542,7.691385,0.000000,NO, 10
1645608135,45.068542,7.691385,0.000000,NO, 10
1645608185,45.069111,7.691000,0.000000,NO, 10
1645608185,45.069111,7.691000,14.000000,SI, 40
1645608304,45.069534,7.691605,14.000000,SI, 40
1645608304,45.069534,7.691605,14.000000,SI, 40
1645608353,45.069843,7.691421,14.000000,SI, 40
1645608389,45.069973,7.692007,14.000000,SI, 40
1645608389,45.069973,7.692007,14.000000,SI, 40
1645608797,45.070400,7.691941,14.000000,SI, 40
1645608797,45.070400,7.691941,14.000000,SI, 40
1645608828,45.070110,7.691978,14.000000,SI, 40
1645608953,45.070374,7.691771,14.000000,SI, 40
1645608953,45.070374,7.691771,14.000000,SI, 40
1645609045,45.070072,7.691879,14.000000,SI, 40
1645609045,45.070072,7.691879,14.000000,SI, 40
1645609378,45.070404,7.691937,14.000000,SI, 40
1645609378,45.070404,7.691937,13.000000,SI, 30
1645609408,45.069992,7.691807,13.000000,SI, 30
1645609452,45.071766,7.695105,13.000000,SI, 30
1645609452,45.071766,7.695105,13.000000,SI, 30
1645609470,45.070442,7.692334,13.000000,SI, 30
1645609600,45.070732,7.692444,13.000000,SI, 30
1645609600,45.070732,7.692444,13.000000,SI, 30
1645609610,45.071087,7.692985,13.000000,SI, 30
1645609665,45.070877,7.691962,13.000000,SI, 30
1645609665,45.070877,7.691962,13.000000,SI, 30
1645609685,45.070911,7.692845,13.000000,SI, 30
