timestamp,latitudine,longitudine,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1648121402,45.055214,7.680712,5.000000,80.000000,28.772972,12.165448
1648121433,45.055237,7.681198,5.000000,80.000000,28.772972,12.165448
1648121515,45.056183,7.681875,8.000000,62.000000,23.592804,9.827636
1648121553,45.056637,7.682132,8.000000,62.000000,23.592804,9.827636
1648121613,45.057446,7.682684,10.000000,43.000000,19.310192,8.436283
1648121642,45.057796,7.682927,10.000000,43.000000,19.310192,8.436283
1648121733,45.059216,7.683857,11.000000,50.000000,9.644217,18.998018
1648121733,45.059216,7.683857,12.000000,50.000000,30.654869,6.046515
1648121836,45.060455,7.684939,12.000000,46.000000,24.808762,10.630952
1648121836,45.060455,7.684939,13.000000,44.000000,52.456566,12.032775
1648121973,45.062195,7.686186,15.000000,44.000000,8.168272,16.042471
1648122091,45.065182,7.687436,15.000000,45.000000,31.878778,10.180326
1648122123,45.064281,7.687332,15.000000,45.000000,31.878778,10.180326
1648122243,45.065731,7.688399,15.000000,42.000000,8.767450,19.432522
1648122273,45.066055,7.688917,15.000000,42.000000,8.767450,19.432522
1648122333,45.066692,7.689162,14.000000,49.000000,8.182461,18.527227
1648122356,45.067036,7.689579,14.000000,49.000000,8.182461,18.527227
1648122483,45.068661,7.690430,14.000000,52.000000,26.670303,6.784712
1648122509,45.069057,7.690909,14.000000,52.000000,26.670303,6.784712
1648122618,45.070404,7.691840,14.000000,48.000000,46.986076,12.276190
1648122647,45.070782,7.692037,14.000000,48.000000,46.986076,12.276190
1648122677,45.071117,7.692313,14.000000,48.000000,46.986076,12.276190
1648122799,45.071442,7.692627,14.000000,53.000000,27.219402,7.499599
1648123036,45.071247,7.693066,14.000000,54.000000,37.397064,6.950712
1648123092,45.071381,7.692659,0.000000,63.000000,25.888611,6.423214
1648123096,45.070927,7.692687,0.000000,63.000000,25.888611,6.423214
1648123587,45.070618,7.692832,12.000000,74.000000,51.561275,11.594033
1648123587,45.070618,7.692832,11.000000,74.000000,45.907894,8.727748
1648126415,45.070667,7.692834,7.000000,140.000000,33.072178,7.578645
1648126649,45.070648,7.692747,7.000000,131.000000,16.322281,6.967975
1648127196,45.070648,7.692754,8.000000,128.000000,15.094162,5.547027
1648127771,45.070724,7.692956,7.000000,145.000000,28.685198,6.875766
1648127771,45.070724,7.692956,7.000000,143.000000,47.409313,11.556836
1648130214,45.070965,7.692883,4.000000,131.000000,20.198261,5.082040
1648132848,45.071033,7.692851,8.000000,107.000000,10.607847,1.673996
1648133413,45.071041,7.692859,8.000000,114.000000,11.746291,1.655670
1648133692,45.071007,7.692844,8.000000,107.000000,9.168087,1.879404
1648134156,45.071198,7.693410,9.000000,101.000000,27.888344,5.270204
1648134529,45.071049,7.692867,9.000000,97.000000,18.030767,3.499604
1648134529,45.071049,7.692867,9.000000,99.000000,9.607293,1.000000
1648134827,45.071033,7.692915,7.000000,100.000000,15.820861,5.963043
1648136904,45.071011,7.692910,6.000000,128.000000,12.432448,7.926994
1648136904,45.071011,7.692910,6.000000,130.000000,17.401375,7.439620
1648137178,45.070984,7.692847,5.000000,137.000000,15.543070,7.244619
1648137743,45.071037,7.692702,10.000000,61.000000,42.014362,10.761504
1648137747,45.070885,7.692074,10.000000,61.000000,42.014362,10.761504
1648137869,45.068687,7.691639,11.000000,48.000000,11.761504,6.890019
1648137967,45.068558,7.689780,13.000000,48.000000,38.628010,15.444298
1648137967,45.068558,7.689780,13.000000,59.000000,20.880087,13.686939
1648137992,45.068874,7.689757,13.000000,59.000000,20.880087,13.686939
1648138105,45.069641,7.688171,13.000000,61.000000,35.482292,8.194952
1648138143,45.069614,7.687688,13.000000,61.000000,35.482292,8.194952 
1648138319,45.069832,7.686263,15.000000,58.000000,8.713301,16.099848
1648139496,45.068680,7.686689,19.000000,27.000000,34.366093,11.079348
1648139528,45.068111,7.686653,19.000000,27.000000,34.366093,11.079348
1648139584,45.067535,7.688074,20.000000,20.000000,30.318464,5.416932
1648139677,45.065857,7.688063,19.000000,32.000000,25.908520,5.769461
1648139740,45.063786,7.687120,18.000000,36.000000,21.976095,4.751302
1648139859,45.060429,7.684818,18.000000,26.000000,32.461563,12.726856
1648140086,45.056190,7.681536,18.000000,28.000000,31.447718,7.389004
1648140146,45.055443,7.682494,19.000000,27.000000,28.411798,7.308355
1648141478,45.055008,7.683806,18.000000,33.000000,32.998867,7.093343
1648141554,45.054623,7.684737,18.000000,29.000000,40.869915,8.997483
1648141642,45.053532,7.684725,19.000000,20.000000,26.465315,5.193069
1648141734,45.052467,7.684340,19.000000,25.000000,21.790218,6.847847
1648141822,45.051113,7.683980,20.000000,27.000000,24.218727,5.607948
1648142064,45.050812,7.684003,19.000000,33.000000,21.774696,7.910237
1648142124,45.050812,7.683984,19.000000,27.000000,37.641190,7.840542
1648142184,45.050831,7.684000,19.000000,32.000000,34.327873,7.459255
1648142233,45.051151,7.684317,19.000000,35.000000,33.532948,6.114436
1648142245,45.050827,7.683985,19.000000,35.000000,33.532948,6.114436
1648142361,45.051140,7.684279,19.000000,37.000000,13.007120,6.108185
1648142361,45.051140,7.684279,19.000000,39.000000,17.226761,4.014772
1648142752,45.051010,7.684391,19.000000,40.000000,58.561203,12.392580
1648142784,45.050819,7.683972,19.000000,40.000000,58.561203,12.392580
1648143320,45.051105,7.683975,16.000000,50.000000,20.136181,4.316310
1648143320,45.051105,7.683975,16.000000,50.000000,22.472282,4.684819
1648143412,45.051136,7.684229,16.000000,51.000000,22.026981,4.931442
1648143504,45.050831,7.684015,15.000000,53.000000,18.895805,3.884611
1648143562,45.051113,7.683994,15.000000,54.000000,16.257610,4.124080
1648143644,45.051109,7.683979,15.000000,53.000000,41.894978,8.712492
1648143715,45.050831,7.684019,15.000000,54.000000,22.388121,7.709870
1648143774,45.050831,7.684021,14.000000,54.000000,23.188955,3.818721
1648143829,45.051163,7.684409,15.000000,54.000000,20.176535,5.436985
1648143920,45.051128,7.684283,15.000000,54.000000,22.251686,3.563362
1648143924,45.050831,7.684028,15.000000,54.000000,22.251686,3.563362
1648143980,45.051109,7.683964,15.000000,54.000000,22.251686,3.563362
1648144101,45.051147,7.684283,15.000000,55.000000,31.752165,5.613274
1648144101,45.051147,7.684283,14.000000,56.000000,15.834711,5.640478
1648144194,45.050831,7.684021,14.000000,57.000000,26.513762,4.852976
1648144220,45.051109,7.683971,14.000000,57.000000,26.513762,4.852976
1648144283,45.050831,7.684019,14.000000,59.000000,25.406359,5.236831
1648144344,45.050831,7.684018,14.000000,58.000000,30.507954,7.033448
1648144431,45.051140,7.684151,14.000000,58.000000,36.084732,6.419279
1648144464,45.050831,7.684019,14.000000,59.000000,38.201744,8.878802
1648144491,45.051140,7.684121,14.000000,59.000000,38.201744,8.878802
1648144581,45.051117,7.684000,14.000000,58.000000,24.482296,4.204028
1648144587,45.050823,7.684018,14.000000,58.000000,14.432302,6.520877
1648144880,45.051117,7.683988,14.000000,58.000000,26.061573,4.082212
1648144944,45.050823,7.684021,14.000000,59.000000,37.127197,5.801816
1648145031,45.051136,7.684148,14.000000,59.000000,20.059557,3.534866
1648145064,45.050823,7.684019,14.000000,59.000000,20.059557,3.534866
1648145112,45.051113,7.684001,14.000000,59.000000,16.929825,3.405497
1648145124,45.050819,7.684021,14.000000,60.000000,18.201521,4.573572
1648145181,45.051113,7.683992,14.000000,60.000000,28.774233,5.440324
1648145185,45.050827,7.684021,14.000000,60.000000,28.774233,5.440324
1648145241,45.051117,7.684227,14.000000,60.000000,28.774233,5.440324
1648145274,45.050819,7.684024,14.000000,60.000000,12.466871,4.507852
1648145654,45.051155,7.684291,13.000000,59.000000,33.749153,6.080250
1648145728,45.051037,7.684315,14.000000,59.000000,36.875935,7.035413
1648145791,45.051105,7.683989,14.000000,57.000000,22.027529,6.341320
1648145791,45.051105,7.683989,14.000000,57.000000,44.822247,9.473205
1648145836,45.050823,7.684026,14.000000,57.000000,19.421452,5.103425
1648145942,45.051136,7.684220,14.000000,55.000000,36.889606,7.852839
1648145987,45.050545,7.683984,14.000000,55.000000,26.816959,6.067961
1648146994,45.051098,7.683983,17.000000,51.000000,27.231123,5.662365
1648147007,45.050804,7.684146,17.000000,48.000000,38.042812,10.222835
1648147055,45.051151,7.684480,17.000000,42.000000,31.851757,6.533805
1648147183,45.052341,7.684707,18.000000,37.000000,23.485708,4.604371
1648147187,45.051792,7.684832,18.000000,37.000000,23.485708,4.604371
1648147277,45.052673,7.684369,18.000000,33.000000,28.903534,8.481619
1648147337,45.053478,7.684517,17.000000,27.000000,41.607895,8.871104
1648147457,45.054676,7.684344,10.000000,32.000000,10.789655,8.937996
1648147457,45.054676,7.684344,7.000000,33.000000,35.372025,6.372970
1648147581,45.055393,7.682698,4.000000,33.000000,14.561144,9.013165
1648147581,45.055393,7.682698,0.000000,32.000000,16.187908,10.360271
1648147646,45.055603,7.681907,0.000000,31.000000,30.406124,11.893877
1648147676,45.055645,7.681413,0.000000,31.000000,30.406124,11.893877
1648147754,45.055962,7.680029,0.000000,33.000000,13.743460,14.043137
1648147807,45.056267,7.679575,0.000000,33.000000,13.743460,14.043137
1648147949,45.056881,7.677278,0.000000,31.000000,30.467262,11.930720
1648148048,45.056217,7.676437,9.000000,81.000000,58.932384,20.543646
1648150633,45.055946,7.676571,0.000000,199.000000,48.322109,12.605842
